In patients with postmenopausal osteoporosis, the risk of fractures decreases, but increases the risk of infection. 	 In patients with postmenopausal osteoporosis, the risk of fractures increases, but decreases the risk of infection.	1	0	0.0039717625	0.9960283
Following the invasion of Poland by Nazi - Germany and the Soviet Union in 1939, Osterwa was active in underground education, but was also ill. 	 Following the 1939, invasion of Poland by Nazi Germany and the Soviet Union, Osterwa became active in the underground education but also was ill.	1	0	0.0045649763	0.99543506
A biblical doom is a negative blessing in its most formal sense. 	 A biblical damnation, in its most negative sense, is a formal blessing.	1	0	0.012686487	0.98731357
The NVIDIA TITAN V was officially announced by Nvidia on December 7, 2017. 	 On December 7, 2017 NVIDIA officially announced the Nvidia TITAN V.	0	1	0.8414861	0.15851389
This made him the first 994nd grader to play for the roosters. 	 This made him the 994th first grader to play for the Roosters.	1	0	0.0058675907	0.99413246
A Peri whose power is in her hair appears in Elizabeth Ann Scarborough ’ s novel ` ` The Harem of Aman Akbar'' from 1984. 	 A Peri whose power appears in her hair is in Elizabeth Ann Scarborough ’ s novel from 1984, ` ` The Harem of Aman Akbar''.	1	0	0.0035326956	0.99646735
During his election campaign, he debated McCain twice, once in Tucson, and once in Flagstaff. 	 During his campaign, he debated McCain twice, once in Flagstaff and once in Tucson.	0	1	0.9989925	0.0010075452
The Petkeljärvi National Park is a national park in Ilomantsi in the region of North Karelia in Finland. 	 The Petkeljärvi National Park is a national park in Finland in the region of Ilomantsi in North Karelia.	1	0	0.017617485	0.9823826
Petkeljärvi National Park is a national park in Finland in the Ilomantsi region of North Karelia. 	 The Petkeljärvi National Park is a national park in Ilomantsi in the region of North Karelia in Finland.	1	0	0.014887862	0.98511213
In other articles it applauded the economic ideas underlying the Schuman Plan and praised the expansion of the European Common Market. 	 In other articles, it praised the economic ideas underlying the Schuman plan and applauded the expansion of the common European market.	0	1	0.99898547	0.0010145028
The degree of distinction between Protestant and Catholic tendencies within the Anglican tradition is routinely a debate both within specific Anglican churches and throughout the Anglican community. 	 The degree of distinction between Protestant and Catholic tendencies within the specific Anglican tradition is routinely a matter of debate both within Anglican churches and throughout the Anglican Communion.	1	0	0.09682758	0.90317243
Impressed by his acting ability, Jesse L. Lasky recruited Deane to join the Jesse L. Lasky Feature Play Company, which relocated to Hollywood to produce films. 	 Impressed by his acting ability, Jesse L. Lasky Deane recruited to join the Jesse L. Lasky Feature Play Company, which moved to Hollywood to produce movies.	1	0	0.00987417	0.9901258
Lysos is a town in Paphos, about 36 kilometres from Cyprus. 	 Lysos is a village in Paphos, about 36 kilometres from Cyprus.	1	0	0.0028495206	0.9971505
An EP named Dido Live, with three of the seventeen live tracks on the DVD, was digitally released exclusively through the iTunes Store on 21 June 2005. 	 An EP called Dido Live with three of the seventeen live tracks on the DVD was released digitally on June 21, 2005 exclusively in the iTunes Store.	1	0	0.004663361	0.9953367
A biblical doom is a formal blessing in its most negative sense. 	 A biblical damnation, in its most formal sense, is a negative blessing.	1	0	0.12932587	0.8706742
An atoll in French - Polynesia Niau is called after Aleksey Greig Greig. 	 An atoll in French Polynesia Niau is named Greig after Aleksey Greig.	1	0	0.007989211	0.9920108
Shook was a British music magazine based in London which covered various forms of black music and electronic music underground. 	 Shook was an underground independently produced British music magazine, based in London, which covered various forms of black music and electronic music.	0	1	0.97695404	0.02304598
Through their family company Divine Foods, 85 % of the Dali Foods Group own their wife Xu Shihui and his daughter, Xu Yangyang. 	 Xu Shihui, his wife Chen Liling and daughter Xu Yangyang have their family company Divine Foods 85 % of the Dali Foods Group.	1	0	0.009602789	0.9903972
The ` ` Astrud'' track on Basia Trzetrzelewska's album ` ` Time and Tide'' of 1987 is a tribute to Gilberto. 	 The ` ` Astrud'' track on Gilberto's 1987 album, ` ` Time and Tide'', is a tribute to Basia Trzetrzelewska.	1	0	0.097450234	0.90254974
January 12, 1978 : Cambridge United - Manager Ron Atkinson is appointed manager of West Bromwich Albion. 	 12 January 1978 : Ron Atkinson, the manager of West Bromwich Albion, is appointed manager of Cambridge United.	1	0	0.06424665	0.9357534
The playground is new with modern fitness equipment for children. 	 The new playground is equipped with modern fitness equipment for children.	0	1	0.6437413	0.3562587
A third radio version was broadcast by the BBC in May 2008 with Wilton again as Beth and the author playing Duff. 	 A third radio version was played by the BBC with Wilton as Beth and the author Duff in May 2008.	0	1	0.9860087	0.013991361
This is a list of programming languages that are optimized for sound production, algorithmic composition, and sound synthesis. 	 This is a list of programming languages that are optimized for sound production, sound composition, and algorithmic synthesis.	1	0	0.003732158	0.99626786
The leaves are oval shaped and three - long and wide, ribbed. 	 The leaves are oval shaped and three - ribbed, being long and wide.	1	0	0.20627454	0.79372543
The fourth was in the caused by the resignation of Thomas Kittera sometime after May, 1826, filled by Joseph Hemphill. 	 The fourth was filled by the resignation of Thomas Kittera sometime after May 1826 by Joseph Hemphill.	0	1	0.994894	0.0051059965
For the Windows platform, Dyalog APL offers tight integration with. NET, plus limited integration with the Microsoft Visual Studio development platform. 	 For the Windows platform, Dyalog APL offers close integration with. NET and limited integration with the development platform Microsoft Visual Studio.	0	1	0.5941016	0.40589842
This climatic region is characterized by great seasonal temperature differences, with warm to hot ( and often humid ) summers and mild winters. 	 This climatic region is typified by large seasonal temperature differences, with warm to humid ( and often hot ) summers and mild winters.	1	0	0.01430951	0.98569053
Following the invasion of Poland by Nazi - Germany and the Soviet Union in 1939, Osterwa became active in underground education, but was also sick. 	 After the invasion of Poland by Nazi - Germany and the Soviet Union in 1939, Osterwa was active in underground education, but also became ill.	1	0	0.004284036	0.9957159
In 1979, he had his best year on tour, making a quarter - finals in Tel Aviv, Johannesburg and Atlanta. 	 In 1979, he had his best year on tour, a quarter - finals in Atlanta, Johannesburg and Tel Aviv.	0	1	0.61562085	0.38437915
It is also possible to run malicious code containing desktop files ( which are used to run applications ). 	 It is also possible to launch malicious code containing. desktop files ( which are used to run applications ).	0	1	0.7738273	0.22617269
In 1938 he became the Government Anthropologist of the Anglo - Egyptian Sudan and conducted fieldwork with the Nuba. 	 In 1938 he became anthropologist of the anglo - Egyptian Sudan to the government and led fieldwork with the Nuba.	0	1	0.99707246	0.0029275462
Chandler recognized the computer as a tool for learning, but he rejected a prevailing objectivism, which viewed data as information and information as knowledge. 	 Chandler regarded the computer as a tool for learning, but he rejected a prevailing objectivism that recognized data as information and information as knowledge.	1	0	0.048249807	0.95175016
On his mother, Elizabeth's side were Sir John Mordaunt, chancellor of the Duchy of Cornwall, and William Mordaunt, chief Prothonotary of the Common Pleas. 	 On his mother ’ s side were Elizabeth John Mordaunt, Chancellor of the Duchy of Cornwall, and William Mordaunt, Chief Prothonotary of the Common Pleas.	1	0	0.08023939	0.91976064
Bellman died on December 8, 1931 in Louisville, Kentucky and is interred at Calvary Cemetery in Louisville. 	 Bellman died in Louisville on December 8, 1931, and is buried at the Calvary Cemetery in Louisville, Kentucky.	1	0	0.0041593453	0.9958406
It originated in the eastern half of the counties of Norfolk and Suffolk and is also represented in Essex and Hertfordshire. 	 It outcrops in the eastern half of the counties of Norfolk and Suffolk, and is also represented in Essex and Hertfordshire.	1	0	0.0033654051	0.99663466
The song was written and composed by Gala by Filippo Andrea Carmeni and Maurizio Molella produced. 	 The song was written and produced by Gala composed by Filippo Andrea Carmeni and Maurizio Molella.	1	0	0.46590865	0.53409135
In January 2011, AMD announced the AMD Accelerated G - Series Embedded Processing Unit ( AMD ). 	 In January 2011, AMD announced the AMD Embedded G - Series Accelerated Processing Unit.	1	0	0.22134036	0.77865964
The movement is in extended time, although there are common sections in 3x4. 	 The movement is in extended time although there are common sections in 3 / 4.	1	0	0.0032262283	0.9967738
It was designed by Richard Creed, built by Collins and Geoffrey and Furnished by George Edwards of Monmouth. 	 It was designed by Richard Creed, built by Collins and Geoffrey and by George Edwards by Monmouth Furnished.	1	0	0.29949778	0.7005022
Tell his father, Charlie Clausen ( Zac MacGuire ) and Evie immediately. 	 Tell his father, Zac MacGuire ( Charlie Clausen ) and Evie immediately.	1	0	0.0036249857	0.996375
The Porte de Vincennes is located where the south - eastern corner of the 20th arrondissement meets the north - eastern corner of the 12th arrondissement of Paris. 	 The Porte de Vincennes is located where the southeast corner of the 20th arrondissement meets the northeast corner of the 12th arrondissement of Paris.	0	1	0.99926287	0.00073717145
The Italian television series AleX was written by Alfredo Castelli, Guglielmo Duccoli and Giorgio Schottler and produced by videotime. 	 The Italian television series AleX was produced by Giorgio Schottler, Guglielmo Duccoli and Alfredo Castelli and written by videotime.	1	0	0.06077988	0.93922013
An EP called Dido Live with three of the seventeen live tracks on the DVD was released exclusively via the iTunes Store digitally on June 21, 2005. 	 An EP called Dido Live with three of the seventeen live tracks on the DVD was digitally released exclusively on the iTunes Store on June 21, 2005.	1	0	0.008470684	0.99152935
Apollonia corresponds to modern Bulgaria, Sozopol, and Selymbria is Silivri, on the Marmara coast. 	 Apollonia corresponds to the modern Sozopol in Bulgaria, and Selymbria is Silivri on the Marmara coast.	1	0	0.022340415	0.97765964
A fourth daughter, Leonora, was the step - great - grandmother of astronomer and astrophysicist Cecilia Payne - Gaposchkin. 	 A fourth daughter, Leonora, was the stepmother of astronomer and astrophysicist Cecilia Payne - Gaposchkin.	1	0	0.004178941	0.995821
The first Foreman of Signals course was in 1951 and the current courses are the 86th and 87th running of the track. 	 The first Foreman of Signals course was in 1951 and the 86th and 87th courses are the current running course.	0	1	0.99918264	0.00081738515
He died of stomach cancer in Claremore, Oklahoma, New York City, where the Lynn Riggs Memorial is located on June 30, 1954. 	 He died on June 30, 1954, of stomach cancer in New York City. Claremore, Oklahoma is home to the Lynn Riggs Memorial.	1	0	0.008808035	0.9911919
Kudawa is a village and Village Development Committee in Bara District in the Narayani Zone of south - eastern Nepal. 	 Kudawa is a village and village development committee in the Narayani zone in the Bara - district of south - east Nepal.	0	1	0.72387797	0.27612206
Later, Andrew Richard ’ s forces would be during the attack on Adhemar, Count of Angoulême. 	 Later, Andrew would be Richard's forces during the attack on Adhemar, count of Angoulême.	0	1	0.9954768	0.0045232177
Was born Martins Pena in Rio de Janeiro, João Martins Pena and Francisca de Paula Julieta Pena. 	 João Martins Pena and Francisca de Paula Julieta Pena was born in Rio de Janeiro, to Martins Pena.	1	0	0.17239988	0.8276001
This incident was later celebrated and is now celebrated in Egypt as the National Police Day on 25 January every year. 	 This incident was later celebrated and is now commemorated in Egypt on 25 January of every year as National Police Day.	1	0	0.0046020863	0.99539787
The meeting is interrupted by the arrival of various messengers from various powerful or influential Mardukans in the city with many dinner invitations for the Prince. 	 The meeting is interrupted by the arrival of many messengers from various powerful or influential Mardukans in the city with various invitations to dinner for the Prince.	0	1	0.9978243	0.0021757237
In 2000, Poonam Devi defeated Devi of RJD Dharmendra Yadav, representing JDU. 	 Poonam Devi of RJD defeated Dharmendra Yadav representing JDU in 2000.	1	0	0.05401148	0.94598854
Soundtrack was composed by Deva and lyrics written by Vairamuthu and Seeman. 	 The soundtrack was written by Deva and lyrics by Vairamuthu and Seeman.	1	0	0.06042899	0.93957096
The velar ejective is a type of consonantal sound, used in some spoken languages. The symbol in the International Phonetic Alphabet that represents this sound is. 	 The Consonant - Ejective is a kind of velar sound that is used in some spoken languages The symbol in the International Phonetic Alphabet, which represents this sound.	1	0	0.0061882487	0.9938117
Painter / novelist Paul Bowles first heard music from the area with American writer Brion Gysin at a festival in Sidi Kacem in 1950. 	 Paul Bowles heard music from the area at a festival in Sidi Kacem in 1950, together with the American writer Brion Gysin.	1	0	0.0063788607	0.9936212
It has headquarters in Shanghai, Hillsboro, Oregon, and Lohja, Finland, and operations in Vancouver, Washington. 	 It has headquarters in Shanghai, Hillsboro, Oregon and Lohja, Finland, and companies in Vancouver, Washington.	1	0	0.0030249748	0.99697506
In 1857, Joseph Moravia Moss, Horaz Carpentier, Edward Fitzgerald Beale and Herman Wohler Rancho Arroyo Seco sold Andrés Pico in 1862. 	 In 1857, Joseph Moravia Moss, Horace Carpentier, Edward Fitzgerald Beale, and Herman Wohler sold Rancho Arroyo Seco to Andrés Pico in 1862.	1	0	0.20524673	0.79475325
The Australian government issued recommendations for British awards in 1983, and the last two Australian state governments ended recommendations in 1989. 	 The Australian Government ceased recommendations for British awards in 1983 and the last two Australian state governments ceased recommendations in 1989.	0	1	0.9920415	0.007958429
Flavia Gleske, better known as Flavia Alejandra Gleske Fajin ( born 15 May 1978 ) is a Venezuelan actress. 	 Flavia Alejandra Gleske Fajin, better known as Flavia Gleske ( born 15 May 1978 ) is a Venezuelan actress and model.	1	0	0.03259979	0.96740025
In other articles, it praised the economic ideas underlying the Schuman plan and applauded for the expansion of the European common market. 	 In other articles, it applauded the economic ideas underlying the Schuman plan and praised the expansion of the common European market.	0	1	0.99928504	0.00071497954
Clubs with 10 or more listed players are represented. 	 Clubs with 10 or more players represented are listed.	1	0	0.033427726	0.9665722
